Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,9-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Gender
2141,Estimates,Singapore,,702,Country,920,2000,114,131,119,128,133,173,186,201,194,162,129,79,71,51,39,24,15,9,4,1,0,Female-Population
2142,Estimates,Singapore,,702,Country,920,2005,102,121,133,144,137,164,192,192,201,192,159,125,76,58,46,33,19,10,5,1,0,Female-Population
2143,Estimates,Singapore,,702,Country,920,2010,104,115,130,177,167,193,212,221,211,216,202,167,131,64,55,41,27,13,6,2,0,Female-Population
2144,Estimates,Singapore,,702,Country,920,2015,106,116,122,167,187,196,219,225,230,218,221,208,171,105,60,50,34,20,7,2,1,Female-Population
2145,Estimates,Singapore,,702,Country,920,2020,124,107,118,128,178,197,204,224,228,232,218,220,205,166,100,55,43,25,12,3,1,Female-Population
2146,Estimates,Thailand,,764,Country,920,1950,  1 675,  1 332,  1 293,  1 132,950,749,627,541,480,397,327,238,203,163,96,66,27,15,7,2,1,Female-Population
2147,Estimates,Thailand,,764,Country,920,1955,  1 976,  1 584,  1 306,  1 275,  1 111,925,725,603,518,458,376,307,218,179,136,73,44,15,7,2,1,Female-Population
2148,Estimates,Thailand,,764,Country,920,1960,  2 354,  1 886,  1 554,  1 289,  1 253,  1 085,900,700,579,495,435,352,281,192,145,99,47,23,6,2,1,Female-Population
2149,Estimates,Thailand,,764,Country,920,1965,  2 741,  2 270,  1 858,  1 536,  1 269,  1 229,  1 060,873,674,555,471,408,324,249,159,109,63,23,9,2,0,Female-Population
2150,Estimates,Thailand,,764,Country,920,1970,  3 098,  2 661,  2 240,  1 839,  1 515,  1 247,  1 204,  1 033,845,648,528,442,374,286,206,119,69,32,9,3,0,Female-Population
2151,Estimates,Thailand,,764,Country,920,1975,  3 142,  3 050,  2 643,  2 261,  1 888,  1 531,  1 226,  1 179,  1 005,815,618,496,407,332,238,156,76,35,13,3,1,Female-Population
2152,Estimates,Thailand,,764,Country,920,1980,  3 024,  3 118,  3 041,  2 632,  2 280,  1 900,  1 510,  1 206,  1 152,974,782,584,458,364,280,183,102,40,15,4,1,Female-Population
2153,Estimates,Thailand,,764,Country,920,1985,  2 811,  2 991,  3 098,  2 995,  2 564,  2 279,  1 951,  1 542,  1 236,  1 170,974,773,556,414,313,223,125,55,16,4,1,Female-Population
2154,Estimates,Thailand,,764,Country,920,1990,  2 623,  2 791,  2 979,  3 032,  2 887,  2 553,  2 365,  2 038,  1 600,  1 290,  1 209,989,775,529,364,255,157,72,25,5,1,Female-Population
2155,Estimates,Thailand,,764,Country,920,1995,  2 503,  2 611,  2 783,  2 940,  2 911,  2 756,  2 476,  2 298,  1 979,  1 549,  1 246,  1 164,937,715,464,296,176,86,31,8,1,Female-Population
2156,Estimates,Thailand,,764,Country,920,2000,  2 281,  2 494,  2 604,  2 676,  2 626,  2 750,  2 929,  2 763,  2 556,  2 079,  1 535,  1 206,  1 107,869,634,384,214,103,39,10,2,Female-Population
2157,Estimates,Thailand,,764,Country,920,2005,  2 062,  2 263,  2 473,  2 528,  2 614,  2 663,  2 836,  2 991,  2 788,  2 534,  2 020,  1 498,  1 170,  1 032,776,527,281,128,47,12,2,Female-Population
2158,Estimates,Thailand,,764,Country,920,2010,  1 958,  2 057,  2 257,  2 405,  2 366,  2 537,  2 743,  2 926,  3 028,  2 790,  2 490,  1 939,  1 442,  1 113,924,649,390,171,60,15,2,Female-Population
2159,Estimates,Thailand,,764,Country,920,2015,  1 867,  1 998,  2 135,  2 356,  2 392,  2 234,  2 408,  2 745,  2 954,  2 983,  2 733,  2 405,  1 853,  1 373,  1 031,797,512,265,87,22,4,Female-Population
2160,Estimates,Thailand,,764,Country,920,2020,  1 746,  1 867,  1 997,  2 134,  2 358,  2 395,  2 235,  2 401,  2 728,  2 925,  2 940,  2 677,  2 329,  1 764,  1 269,901,634,349,144,35,6,Female-Population
2161,Estimates,Timor-Leste,,626,Country,920,1950,37,29,25,20,18,15,13,10,8,9,7,4,5,3,2,1,0,0,0,0,0,Female-Population
2162,Estimates,Timor-Leste,,626,Country,920,1955,33,32,27,24,18,17,14,12,9,7,8,6,3,3,2,1,0,0,0,0,0,Female-Population
2163,Estimates,Timor-Leste,,626,Country,920,1960,37,29,31,26,23,17,15,13,11,8,6,7,5,3,2,1,0,0,0,0,0,Female-Population
2164,Estimates,Timor-Leste,,626,Country,920,1965,42,33,28,30,25,21,16,14,12,10,7,6,5,4,2,1,1,0,0,0,0,Female-Population
2165,Estimates,Timor-Leste,,626,Country,920,1970,45,37,32,27,28,24,20,15,13,11,9,6,5,4,3,1,1,0,0,0,0,Female-Population
2166,Estimates,Timor-Leste,,626,Country,920,1975,48,41,36,31,26,27,22,19,14,13,10,8,6,4,3,2,0,0,0,0,0,Female-Population
2167,Estimates,Timor-Leste,,626,Country,920,1980,39,41,39,34,27,20,20,17,15,11,10,8,6,4,2,2,1,0,0,0,0,Female-Population
2168,Estimates,Timor-Leste,,626,Country,920,1985,49,35,40,38,32,26,19,19,16,14,10,9,7,5,3,1,1,0,0,0,0,Female-Population
2169,Estimates,Timor-Leste,,626,Country,920,1990,59,46,35,39,37,31,25,18,18,15,13,10,8,6,4,2,1,0,0,0,0,Female-Population
2170,Estimates,Timor-Leste,,626,Country,920,1995,71,56,45,34,38,36,30,24,17,17,14,12,9,7,4,2,1,0,0,0,0,Female-Population
2171,Estimates,Timor-Leste,,626,Country,920,2000,75,67,54,43,30,31,28,24,19,14,15,12,10,7,5,3,1,0,0,0,0,Female-Population
2172,Estimates,Timor-Leste,,626,Country,920,2005,82,72,65,51,39,27,30,27,23,18,13,14,11,9,6,4,2,1,0,0,0,Female-Population
2173,Estimates,Timor-Leste,,626,Country,920,2010,79,80,70,63,48,36,25,28,25,21,17,12,13,10,7,4,2,1,0,0,0,Female-Population
2174,Estimates,Timor-Leste,,626,Country,920,2015,77,77,78,67,59,46,35,24,27,24,21,16,11,11,8,5,2,1,0,0,0,Female-Population
2175,Estimates,Timor-Leste,,626,Country,920,2020,87,75,76,75,64,57,45,34,23,27,24,20,15,10,9,6,3,1,0,0,0,Female-Population
2176,Estimates,Viet Nam,,704,Country,920,1950,  1 553,  1 234,  1 194,  1 267,  1 098,  1 030,885,847,735,719,576,474,368,263,173,93,31,15,5,1,0,Female-Population
2177,Estimates,Viet Nam,,704,Country,920,1955,  2 248,  1 469,  1 203,  1 178,  1 256,  1 088,  1 016,864,825,711,686,542,435,321,210,122,55,15,5,1,0,Female-Population
2178,Estimates,Viet Nam,,704,Country,920,1960,  2 849,  2 153,  1 438,  1 188,  1 169,  1 245,  1 076,998,846,804,685,651,504,388,263,154,76,27,5,1,0,Female-Population
2179,Estimates,Viet Nam,,704,Country,920,1965,  3 204,  2 756,  2 116,  1 423,  1 180,  1 160,  1 235,  1 062,981,828,780,655,613,457,325,199,100,40,11,1,0,Female-Population
2180,Estimates,Viet Nam,,704,Country,920,1970,  3 445,  3 121,  2 714,  2 095,  1 413,  1 172,  1 152,  1 221,  1 045,962,806,748,619,561,391,255,137,57,17,3,0,Female-Population
2181,Estimates,Viet Nam,,704,Country,920,1975,  3 733,  3 358,  3 063,  2 677,  2 075,  1 400,  1 161,  1 135,  1 197,  1 018,928,762,694,546,446,272,144,58,16,3,0,Female-Population
2182,Estimates,Viet Nam,,704,Country,920,1980,  3 881,  3 651,  3 314,  3 011,  2 597,  1 985,  1 327,  1 105,  1 092,  1 158,984,890,724,640,473,355,189,82,25,5,1,Female-Population
2183,Estimates,Viet Nam,,704,Country,920,1985,  4 171,  3 822,  3 612,  3 276,  2 978,  2 566,  1 956,  1 300,  1 079,  1 067,  1 130,951,851,673,563,386,256,114,38,8,1,Female-Population
2184,Estimates,Viet Nam,,704,Country,920,1990,  4 446,  4 120,  3 789,  3 576,  3 243,  2 946,  2 536,  1 927,  1 273,  1 056,  1 042,  1 095,912,795,598,467,286,160,55,13,2,Female-Population
2185,Estimates,Viet Nam,,704,Country,920,1995,  4 447,  4 401,  4 094,  3 764,  3 520,  3 170,  2 908,  2 518,  1 908,  1 256,  1 037,  1 016,  1 055,858,714,503,353,185,82,21,3,Female-Population
2186,Estimates,Viet Nam,,704,Country,920,2000,  3 496,  4 418,  4 381,  4 076,  3 731,  3 476,  3 137,  2 884,  2 498,  1 887,  1 236,  1 013,980,995,774,605,386,232,97,32,5,Female-Population
2187,Estimates,Viet Nam,,704,Country,920,2005,  3 238,  3 451,  4 356,  4 332,  4 022,  3 668,  3 422,  3 082,  2 833,  2 469,  1 878,  1 210,963,916,902,663,468,257,125,38,9,Female-Population
2188,Estimates,Viet Nam,,704,Country,920,2010,  3 419,  3 187,  3 383,  4 301,  4 259,  3 937,  3 585,  3 339,  3 023,  2 801,  2 457,  1 839,  1 150,897,833,776,517,316,140,50,11,Female-Population
2189,Estimates,Viet Nam,,704,Country,920,2015,  3 607,  3 393,  3 159,  3 359,  4 259,  4 205,  3 890,  3 544,  3 304,  2 993,  2 770,  2 404,  1 772,  1 084,816,716,607,351,174,57,15,Female-Population
2190,Estimates,Viet Nam,,704,Country,920,2020,  3 728,  3 581,  3 364,  3 136,  3 320,  4 206,  4 158,  3 848,  3 508,  3 272,  2 960,  2 712,  2 319,  1 672,987,704,563,416,196,73,18,Female-Population
2221,Estimates,Antigua and Barbuda,,28,Country,915,1950,4,3,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Female-Population
2222,Estimates,Antigua and Barbuda,,28,Country,915,1955,4,4,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Female-Population
2223,Estimates,Antigua and Barbuda,,28,Country,915,1960,4,4,4,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Female-Population
2224,Estimates,Antigua and Barbuda,,28,Country,915,1965,4,4,4,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Female-Population
2225,Estimates,Antigua and Barbuda,,28,Country,915,1970,5,5,5,4,3,2,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,Female-Population
2226,Estimates,Antigua and Barbuda,,28,Country,915,1975,4,4,4,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,Female-Population
2227,Estimates,Antigua and Barbuda,,28,Country,915,1980,4,4,4,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,Female-Population
2228,Estimates,Antigua and Barbuda,,28,Country,915,1985,4,4,3,3,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,Female-Population
2229,Estimates,Antigua and Barbuda,,28,Country,915,1990,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,Female-Population
2230,Estimates,Antigua and Barbuda,,28,Country,915,1995,3,4,3,3,3,3,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,Female-Population
2231,Estimates,Antigua and Barbuda,,28,Country,915,2000,4,4,4,3,3,3,4,4,3,2,2,1,1,1,1,1,0,0,0,0,0,Female-Population
2232,Estimates,Antigua and Barbuda,,28,Country,915,2005,3,4,4,3,3,4,4,4,3,3,2,2,1,1,1,1,0,0,0,0,0,Female-Population
2233,Estimates,Antigua and Barbuda,,28,Country,915,2010,3,3,4,4,4,4,4,4,4,3,3,2,2,1,1,1,1,0,0,0,0,Female-Population
2234,Estimates,Antigua and Barbuda,,28,Country,915,2015,4,3,3,4,4,4,4,4,4,4,3,3,2,1,1,1,1,0,0,0,0,Female-Population
2235,Estimates,Antigua and Barbuda,,28,Country,915,2020,4,4,3,3,4,4,4,4,4,4,4,3,2,2,1,1,1,0,0,0,0,Female-Population
2236,Estimates,Aruba,,533,Country,915,1950,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Female-Population
2237,Estimates,Aruba,,533,Country,915,1955,4,3,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Female-Population
2238,Estimates,Aruba,,533,Country,915,1960,4,4,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Female-Population
2239,Estimates,Aruba,,533,Country,915,1965,4,4,4,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,Female-Population
2240,Estimates,Aruba,,533,Country,915,1970,3,4,4,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,Female-Population
2241,Estimates,Aruba,,533,Country,915,1975,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,Female-Population
2242,Estimates,Aruba,,533,Country,915,1980,3,2,3,3,3,3,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0,Female-Population
2243,Estimates,Aruba,,533,Country,915,1985,3,2,2,3,3,3,3,3,2,2,2,1,1,1,1,1,0,0,0,0,0,Female-Population
2244,Estimates,Aruba,,533,Country,915,1990,2,2,2,2,2,3,3,3,2,2,2,1,1,1,1,1,0,0,0,0,0,Female-Population
2245,Estimates,Aruba,,533,Country,915,1995,3,3,3,2,3,3,4,4,3,3,2,2,1,1,1,1,0,0,0,0,0,Female-Population
2246,Estimates,Aruba,,533,Country,915,2000,3,4,3,3,3,3,4,5,4,4,3,2,2,1,1,1,1,0,0,0,0,Female-Population
2247,Estimates,Aruba,,533,Country,915,2005,3,4,4,4,3,3,4,5,5,5,4,3,2,2,1,1,0,0,0,0,0,Female-Population
2248,Estimates,Aruba,,533,Country,915,2010,3,3,4,4,3,3,4,4,4,5,4,4,3,2,2,1,1,0,0,0,0,Female-Population
2249,Estimates,Aruba,,533,Country,915,2015,3,3,4,4,4,3,3,4,4,4,5,4,4,3,2,1,1,0,0,0,0,Female-Population
2250,Estimates,Aruba,,533,Country,915,2020,3,3,3,4,4,4,3,3,4,4,4,5,4,3,2,2,1,0,0,0,0,Female-Population
2251,Estimates,Bahamas,,44,Country,915,1950,6,5,4,4,4,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,Female-Population
2252,Estimates,Bahamas,,44,Country,915,1955,7,6,5,4,4,4,3,3,3,2,2,1,1,1,1,0,0,0,0,0,0,Female-Population
2253,Estimates,Bahamas,,44,Country,915,1960,9,8,7,5,5,4,4,3,3,3,2,2,1,1,1,0,0,0,0,0,0,Female-Population
2254,Estimates,Bahamas,,44,Country,915,1965,11,11,8,7,5,5,5,4,3,3,3,2,1,1,1,0,0,0,0,0,0,Female-Population
2255,Estimates,Bahamas,,44,Country,915,1970,11,13,11,8,7,6,6,5,4,3,3,3,2,1,1,1,0,0,0,0,0,Female-Population
2256,Estimates,Bahamas,,44,Country,915,1975,12,13,13,10,8,8,6,6,5,4,3,3,2,2,1,1,0,0,0,0,0,Female-Population
2257,Estimates,Bahamas,,44,Country,915,1980,12,13,13,13,11,9,7,6,5,4,3,3,2,2,1,1,0,0,0,0,0,Female-Population
2258,Estimates,Bahamas,,44,Country,915,1985,15,13,13,13,13,11,9,7,6,5,4,3,2,2,2,1,1,0,0,0,0,Female-Population
2259,Estimates,Bahamas,,44,Country,915,1990,14,14,12,13,12,13,10,8,7,6,5,4,3,2,2,1,1,0,0,0,0,Female-Population
2260,Estimates,Bahamas,,44,Country,915,1995,15,14,14,13,13,12,13,10,9,7,6,5,4,3,2,1,1,0,0,0,0,Female-Population
2261,Estimates,Bahamas,,44,Country,915,2000,14,15,14,14,12,13,12,13,11,9,7,5,4,3,2,2,1,1,0,0,0,Female-Population
2262,Estimates,Bahamas,,44,Country,915,2005,15,16,15,15,13,13,13,14,12,11,8,6,5,4,3,2,1,1,0,0,0,Female-Population
2263,Estimates,Bahamas,,44,Country,915,2010,16,16,16,16,14,14,14,15,14,13,10,7,5,5,3,2,1,1,0,0,0,Female-Population
2264,Estimates,Bahamas,,44,Country,915,2015,13,16,16,16,16,14,14,14,15,14,13,10,7,5,4,3,1,1,0,0,0,Female-Population
2265,Estimates,Bahamas,,44,Country,915,2020,13,13,16,16,17,17,14,14,14,15,13,13,10,6,4,3,2,1,0,0,0,Female-Population
2266,Estimates,Barbados,,52,Country,915,1950,13,11,11,10,9,8,8,8,7,7,5,4,4,3,3,2,1,0,0,0,0,Female-Population
2267,Estimates,Barbados,,52,Country,915,1955,16,13,11,10,9,8,7,7,7,7,6,5,4,3,3,2,1,0,0,0,0,Female-Population
2268,Estimates,Barbados,,52,Country,915,1960,16,15,14,11,9,8,8,7,7,6,6,6,5,5,3,2,1,1,0,0,0,Female-Population
2269,Estimates,Barbados,,52,Country,915,1965,16,16,14,12,8,7,7,7,6,6,6,5,5,4,4,2,1,0,0,0,0,Female-Population
2270,Estimates,Barbados,,52,Country,915,1970,13,16,15,13,10,6,6,6,6,6,6,6,5,5,3,2,2,1,0,0,0,Female-Population
2271,Estimates,Barbados,,52,Country,915,1975,11,12,15,15,11,9,7,5,6,6,6,5,5,6,4,3,1,1,0,0,0,Female-Population
2272,Estimates,Barbados,,52,Country,915,1980,11,13,13,14,13,11,8,6,6,5,6,5,5,5,4,3,2,1,0,0,0,Female-Population
2273,Estimates,Barbados,,52,Country,915,1985,10,11,13,13,14,13,10,8,6,5,5,5,5,5,4,3,2,1,0,0,0,Female-Population
2274,Estimates,Barbados,,52,Country,915,1990,10,10,10,13,12,13,12,10,8,6,5,5,5,4,4,4,2,1,1,0,0,Female-Population
2275,Estimates,Barbados,,52,Country,915,1995,10,10,10,10,12,12,12,12,10,8,6,5,5,5,4,4,3,1,1,0,0,Female-Population
2276,Estimates,Barbados,,52,Country,915,2000,9,10,10,10,10,11,11,12,11,9,8,6,5,5,5,4,3,2,1,0,0,Female-Population
2277,Estimates,Barbados,,52,Country,915,2005,9,9,10,10,10,10,11,11,12,11,9,7,6,5,5,4,3,2,1,0,0,Female-Population
2278,Estimates,Barbados,,52,Country,915,2010,9,9,9,10,9,10,10,11,11,11,11,9,7,6,5,4,3,2,1,0,0,Female-Population
2279,Estimates,Barbados,,52,Country,915,2015,8,9,9,9,9,9,10,10,11,10,11,10,8,7,5,4,3,2,1,0,0,Female-Population
2280,Estimates,Barbados,,52,Country,915,2020,7,8,9,9,9,9,9,10,10,11,10,11,10,8,6,5,4,2,1,0,0,Female-Population
2281,Estimates,Cuba,,192,Country,915,1950,379,351,325,282,252,225,205,193,166,136,93,69,67,48,33,20,11,5,2,1,0,Female-Population
2282,Estimates,Cuba,,192,Country,915,1955,438,368,347,321,277,247,219,199,186,160,130,88,64,59,38,21,10,5,2,0,0,Female-Population
2283,Estimates,Cuba,,192,Country,915,1960,437,428,364,343,315,271,240,213,192,180,153,124,82,58,49,26,12,4,1,0,0,Female-Population
2284,Estimates,Cuba,,192,Country,915,1965,606,422,413,361,337,297,254,224,200,181,169,145,116,75,49,35,16,5,1,0,0,Female-Population
2285,Estimates,Cuba,,192,Country,915,1970,600,594,406,410,358,329,280,232,210,187,169,160,137,106,64,37,22,8,2,0,0,Female-Population
2286,Estimates,Cuba,,192,Country,915,1975,561,592,587,397,398,345,317,268,221,201,178,162,152,126,93,51,25,12,3,0,0,Female-Population
2287,Estimates,Cuba,,192,Country,915,1980,395,554,586,578,385,386,334,306,258,212,192,170,154,140,112,77,37,14,5,1,0,Female-Population
2288,Estimates,Cuba,,192,Country,915,1985,384,386,546,574,561,369,370,319,292,246,201,184,162,142,125,93,56,21,6,2,0,Female-Population
2289,Estimates,Cuba,,192,Country,915,1990,437,380,384,541,566,553,362,363,313,286,239,194,175,151,127,104,69,33,10,2,0,Female-Population
2290,Estimates,Cuba,,192,Country,915,1995,380,433,377,377,531,556,543,354,355,305,277,231,185,163,135,106,77,40,15,3,0,Female-Population
2291,Estimates,Cuba,,192,Country,915,2000,366,377,429,369,366,520,547,536,348,349,298,269,221,173,146,114,80,47,19,5,1,Female-Population
2292,Estimates,Cuba,,192,Country,915,2005,327,361,362,417,359,357,512,540,530,343,341,289,258,207,156,125,87,49,22,6,1,Female-Population
2293,Estimates,Cuba,,192,Country,915,2010,296,320,352,357,415,349,322,488,523,519,335,332,278,242,189,136,97,57,26,8,1,Female-Population
2294,Estimates,Cuba,,192,Country,915,2015,307,294,317,349,355,414,344,309,476,517,511,327,319,261,221,164,106,64,30,10,2,Female-Population
2295,Estimates,Cuba,,192,Country,915,2020,278,305,293,312,341,347,408,340,305,470,509,498,315,301,239,193,130,71,34,12,2,Female-Population
2296,Estimates,Curaçao,,531,Country,915,1950,7,6,5,5,4,4,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,Female-Population
2297,Estimates,Curaçao,,531,Country,915,1955,9,7,6,5,5,4,4,3,3,3,2,2,2,1,1,1,1,0,0,0,0,Female-Population
2298,Estimates,Curaçao,,531,Country,915,1960,10,9,7,6,5,4,4,3,3,3,2,2,2,1,1,1,1,0,0,0,0,Female-Population
2299,Estimates,Curaçao,,531,Country,915,1965,9,10,8,6,5,4,4,4,3,3,3,2,2,1,1,1,0,0,0,0,0,Female-Population
2300,Estimates,Curaçao,,531,Country,915,1970,9,9,10,8,6,5,4,4,4,3,3,2,2,2,1,1,0,0,0,0,0,Female-Population
2301,Estimates,Curaçao,,531,Country,915,1975,8,9,10,9,7,6,5,4,4,3,3,2,2,2,1,1,1,0,0,0,0,Female-Population
2302,Estimates,Curaçao,,531,Country,915,1980,7,8,8,9,8,6,6,5,4,3,3,3,2,2,1,1,1,0,0,0,0,Female-Population
2303,Estimates,Curaçao,,531,Country,915,1985,7,7,7,8,8,7,6,5,5,4,3,3,2,2,1,1,1,0,0,0,0,Female-Population
2304,Estimates,Curaçao,,531,Country,915,1990,7,6,6,6,6,7,7,6,5,4,4,3,3,2,2,1,1,0,0,0,0,Female-Population
2305,Estimates,Curaçao,,531,Country,915,1995,6,7,6,5,5,5,6,7,6,5,4,3,3,2,2,1,1,0,0,0,0,Female-Population
2306,Estimates,Curaçao,,531,Country,915,2000,4,6,6,5,3,4,5,6,6,5,5,4,3,3,2,1,1,1,0,0,0,Female-Population
2307,Estimates,Curaçao,,531,Country,915,2005,4,4,5,5,3,3,5,6,5,6,5,5,4,3,2,2,1,1,0,0,0,Female-Population
2308,Estimates,Curaçao,,531,Country,915,2010,5,5,5,6,4,4,4,6,6,7,7,6,5,4,3,2,1,1,0,0,0,Female-Population
2309,Estimates,Curaçao,,531,Country,915,2015,5,5,5,5,5,5,5,5,6,7,7,7,6,5,4,3,2,1,0,0,0,Female-Population
2310,Estimates,Curaçao,,531,Country,915,2020,4,5,5,5,5,5,5,5,5,6,7,7,6,5,4,3,2,1,1,0,0,Female-Population
2311,Estimates,Dominican Republic,,214,Country,915,1950,217,164,151,132,109,87,69,54,44,36,30,24,19,14,9,5,3,1,0,0,0,Female-Population
2312,Estimates,Dominican Republic,,214,Country,915,1955,277,199,159,146,126,104,83,65,52,42,34,27,21,16,10,6,3,1,0,0,0,Female-Population
2313,Estimates,Dominican Republic,,214,Country,915,1960,332,259,194,154,140,121,99,80,62,49,39,31,24,18,12,7,3,1,0,0,0,Female-Population
2314,Estimates,Dominican Republic,,214,Country,915,1965,373,315,254,188,147,134,116,95,77,60,47,37,28,20,14,8,4,1,0,0,0,Female-Population
